id_task,id_user,arrived_del_loc_at,id_telemetry,latitude,longitude,accuracy_radius,android_activity,android_activity_confidence,telemetry_time
60293022,79131,2025-03-14 16:09:20.000000 UTC,66340793,251783467,552666117,1.863,WALKING,98.0,2025-03-14 16:09:15.000000 UTC
60294449,48535,2025-03-14 16:06:37.000000 UTC,66301499,251907688,552658612,11.477,WALKING,97.0,2025-03-14 16:06:52.000000 UTC
60293206,79167,2025-03-14 16:08:29.000000 UTC,66328969,251811250,552636071,19.958,WALKING,88.0,2025-03-14 16:08:32.000000 UTC
60296111,98855,2025-03-14 16:11:28.000000 UTC,66375001,251129848,552464524,33.568,STILL,99.0,2025-03-14 16:11:21.000000 UTC
60290925,34979,2025-03-14 16:12:03.000000 UTC,66390089,251731980,553061363,2.666,UNKNOWN,40.0,2025-03-14 16:12:17.000000 UTC
60292814,71255,2025-03-14 16:13:54.000000 UTC,66417674,251815800,552369417,2.252,STILL,100.0,2025-03-14 16:13:58.000000 UTC
60291919,99142,2025-03-14 16:13:03.000000 UTC,66400745,251123150,552474088,5.471,IN_VEHICLE,96.0,2025-03-14 16:12:56.000000 UTC
60292219,98869,2025-03-14 16:14:44.000000 UTC,66429072,251119849,552475887,9.517,WALKING,86.0,2025-03-14 16:14:40.000000 UTC
60295098,28170,2025-03-14 16:15:27.000000 UTC,66441905,251735750,553008800,1.268,STILL,100.0,2025-03-14 16:15:27.000000 UTC
60295751,94255,2025-03-14 16:11:36.000000 UTC,66382234,251894772,552659401,11.174,STILL,100.0,2025-03-14 16:11:48.000000 UTC
60290370,93920,2025-03-14 16:15:02.000000 UTC,66433491,252048267,552698883,2.15,TILTING,100.0,2025-03-14 16:14:56.000000 UTC
60293703,73275,2025-03-14 16:15:45.000000 UTC,66450992,251765543,552721634,2.751,WALKING,96.0,2025-03-14 16:16:01.000000 UTC
60292286,3455,2025-03-14 16:16:47.000000 UTC,66464682,251919649,552620767,20.532,STILL,47.0,2025-03-14 16:16:52.000000 UTC
60294310,79648,2025-03-14 16:16:09.000000 UTC,66457221,252071808,552600727,1.866,IN_VEHICLE,96.0,2025-03-14 16:16:24.000000 UTC
60296194,76140,2025-03-14 16:23:22.000000 UTC,66570276,252065244,552702185,9.273,UNKNOWN,40.0,2025-03-14 16:23:20.000000 UTC
60293573,86210,2025-03-14 16:18:39.000000 UTC,66493700,251852198,552901957,11.119,WALKING,88.0,2025-03-14 16:18:38.000000 UTC
60296319,65463,2025-03-14 16:22:42.000000 UTC,66562156,251922019,552622822,1.883,WALKING,96.0,2025-03-14 16:22:50.000000 UTC
60295153,5789,2025-03-14 16:25:18.000000 UTC,66602092,252085955,552746635,11.532,STILL,38.0,2025-03-14 16:25:17.000000 UTC
60295489,91832,2025-03-14 16:20:16.000000 UTC,66519765,251847333,552604733,3.016,UNKNOWN,40.0,2025-03-14 16:20:14.000000 UTC
60294518,95203,2025-03-14 16:24:59.000000 UTC,66596567,251731562,553068223,1.6,STILL,100.0,2025-03-14 16:24:56.000000 UTC
60294253,30335,2025-03-14 16:19:31.000000 UTC,66509894,251897040,552672336,31.696,IN_VEHICLE,83.0,2025-03-14 16:19:38.000000 UTC
60295931,58857,2025-03-14 16:26:09.000000 UTC,66616476,251917354,552911099,233.385,UNKNOWN,40.0,2025-03-14 16:26:10.000000 UTC
