id_task,id_user,arrived_del_loc_at
60631494,75991,2025-03-18 08:42:42.000000 UTC
60630422,58202,2025-03-18 08:37:28.000000 UTC
60630193,79057,2025-03-18 08:28:22.000000 UTC
60631019,69828,2025-03-18 08:44:47.000000 UTC
60631497,45982,2025-03-18 08:42:35.000000 UTC
60630303,96546,2025-03-18 08:45:53.000000 UTC
60631890,31509,2025-03-18 08:46:06.000000 UTC
60630550,62525,2025-03-18 08:42:03.000000 UTC
60631867,6076,2025-03-18 08:51:01.000000 UTC
60631868,28453,2025-03-18 08:55:17.000000 UTC
60631332,77595,2025-03-18 08:47:45.000000 UTC
60632031,62567,2025-03-18 08:53:55.000000 UTC
60631534,30140,2025-03-18 08:54:13.000000 UTC
60631861,86323,2025-03-18 08:57:28.000000 UTC
60631764,65719,2025-03-18 08:53:24.000000 UTC
60630870,63369,2025-03-18 08:49:47.000000 UTC
60631154,18355,2025-03-18 08:44:47.000000 UTC
60631958,94120,2025-03-18 08:56:50.000000 UTC
60630391,79497,2025-03-18 08:50:06.000000 UTC
60631628,24403,2025-03-18 08:56:42.000000 UTC
60632825,46798,2025-03-18 09:00:49.000000 UTC
60632572,64676,2025-03-18 08:59:09.000000 UTC
60630649,40475,2025-03-18 09:00:48.000000 UTC
60630441,82339,2025-03-18 09:00:45.000000 UTC
60631742,93505,2025-03-18 09:04:02.000000 UTC
60632247,76138,2025-03-18 09:05:29.000000 UTC
60632351,92570,2025-03-18 09:00:56.000000 UTC
60632006,8593,2025-03-18 09:02:56.000000 UTC
60631484,64933,2025-03-18 09:05:53.000000 UTC
60632960,71356,2025-03-18 09:09:42.000000 UTC
60630960,31367,2025-03-18 09:01:46.000000 UTC
60632692,91944,2025-03-18 09:08:22.000000 UTC
60632418,84338,2025-03-18 09:09:33.000000 UTC
60632008,69829,2025-03-18 09:07:35.000000 UTC
60633419,49728,2025-03-18 09:13:40.000000 UTC
60632576,59071,2025-03-18 09:14:48.000000 UTC
60633037,18521,2025-03-18 09:08:01.000000 UTC
60631645,65681,2025-03-18 09:15:53.000000 UTC
60634033,86455,2025-03-18 09:16:33.000000 UTC
60633349,23309,2025-03-18 09:16:58.000000 UTC
60631820,92365,2025-03-18 09:12:17.000000 UTC
60634142,21562,2025-03-18 09:23:04.000000 UTC
60633282,91436,2025-03-18 09:22:33.000000 UTC
60632284,91309,2025-03-18 09:21:28.000000 UTC
60633753,50288,2025-03-18 09:29:16.000000 UTC
60632450,78862,2025-03-18 09:20:26.000000 UTC
60633001,77037,2025-03-18 09:27:54.000000 UTC
60633652,77595,2025-03-18 09:28:04.000000 UTC
60633990,2266,2025-03-18 09:31:52.000000 UTC
60633504,77865,2025-03-18 09:23:01.000000 UTC
60633426,62523,2025-03-18 09:27:12.000000 UTC
60633091,96549,2025-03-18 09:28:21.000000 UTC
60634298,63502,2025-03-18 09:33:25.000000 UTC
60633052,8040,2025-03-18 09:35:35.000000 UTC
60633123,85572,2025-03-18 09:35:04.000000 UTC
60634396,92349,2025-03-18 09:40:26.000000 UTC
60633764,97677,2025-03-18 09:36:00.000000 UTC
60634531,84321,2025-03-18 09:39:27.000000 UTC
60635343,82929,2025-03-18 09:42:42.000000 UTC
60634162,68813,2025-03-18 09:30:17.000000 UTC
60634055,95274,2025-03-18 09:44:30.000000 UTC
60634301,91095,2025-03-18 09:42:12.000000 UTC
60635009,33822,2025-03-18 09:46:07.000000 UTC
60634206,93854,2025-03-18 09:51:10.000000 UTC
60635635,65110,2025-03-18 09:48:01.000000 UTC
