id_task,mp_Task_nr
60340851,FF3FNNI2OPRG22A
60173817,FF3DNN31RCDE5YA
60302090,FF3ENNO1CF0CXIA
60250508,FF3ENNIYB121D7A
60547156,FF3HNNF64E0KDQA
60631534,FF3INNMX5906KOA
60194770,FF3DNNC7ABSNJCA
60507692,FF3GNNVQOTCIIMA
60500439,FF3GNN62DQ4QI5A
60279336,FF3ENNUQ0UIQ2IA
60254967,FF3ENNE1AEIFAYA
60174409,FF3DNN23NJE44UA
60373398,FF3FNNUPFHV1DXA
60420433,FF3FNNDDGT7P31A
60284451,FF3ENNJX04A44ZA
60133965,FF3CNNDH5M103FA
60495817,FF3GNNUCGS05NKA
60313773,FF3ENN6RDWB4LAA
